AAA,AAA,53656F656,8992,20220629,24.390000
AAPL,AAPL,037833100,194592,20220615,132.760000
AAPL,AAPL,037833100,4366,20220627,141.660000
AAPL,AAPL,037833100,28223,20220628,141.660000
AAPL,AAPL,037833100,45570,20220616,135.430000
AAPL,AAPL,037833100,11543,20220622,135.870000
AAPL,AAPL,037833100,17851,20220617,130.060000
AAPL,AAPL,037833100,1853599,20220630,139.230000
AAPL,AAPL,037833100,573,20220629,137.440000
AAPL,AAPL,037833100,21773,20220624,138.270000
AIG,AIG,026874784,837,20220616,52.050000
AIG,AIG,026874784,358,20220615,52.020000
AIG,AIG,026874784,100,20220623,51.380000
AIG,AIG,026874784,1191,20220622,52.150000
BAC,BAC,060505104,209300,20220615,31.460000
BAC,BAC,060505104,1428,20220624,32.080000
BAC,BAC,060505104,392921,20220622,32.850000
BAC,BAC,060505104,17988,20220616,32.050000
BAC,BAC,060505104,20,20220617,31.850000
BAC,BAC,060505104,21700,20220629,32.260000
BNO,BNO,91167Q100,7932,20220630,33.480000
BNO,BNO,91167Q100,12865,20220622,33.450000
BNO,BNO,91167Q100,1960,20220627,32.650000
BNO,BNO,91167Q100,2813,20220616,34.670000
BNO,BNO,91167Q100,3523,20220617,34.830000
BNO,BNO,91167Q100,7214,20220621,33.120000
BNO,BNO,91167Q100,1305,20220629,34.070000
EEM,EEM,464287234,50,20220617,39.520000
EEM,EEM,464287234,1027088,20220621,39.670000
EEM,EEM,464287234,300,20220628,40.700000
EEM,EEM,464287234,5,20220629,40.450000
EEM,EEM,464287234,13805,20220622,40.310000
EEM,EEM,464287234,62769,20220616,40.770000
GDVD,GDVD,66538H195,4580,20220628,21.990000
GDVD,GDVD,66538H195,4780,20220627,21.920000
GDVD,GDVD,66538H195,9857,20220629,21.730000
GDVD,GDVD,66538H195,47,20220615,21.400000
GDVD,GDVD,66538H195,4809,20220624,21.500000
GDVD,GDVD,66538H195,7257,20220630,21.690000
GOOG,GOOG,02079K107,2200,20220628,2332.450000
GOOG,GOOG,02079K107,1,20220615,2143.880000
GOOG,GOOG,02079K107,9,20220622,2240.300000
GOOG,GOOG,02079K107,487,20220630,2245.130000
GOOG,GOOG,02079K107,4175,20220617,2132.720000
GOOG,GOOG,02079K107,50,20220616,2207.810000
GOOG,GOOG,02079K107,868,20220623,2240.680000
GOOGL,GOOGL,02079K305,7131,20220615,2134.310000
GOOGL,GOOGL,02079K305,814,20220628,2316.670000
GOOGL,GOOGL,02079K305,113537,20220622,2230.880000
GOOGL,GOOGL,02079K305,80,20220629,2240.150000
GOOGL,GOOGL,02079K305,5821,20220627,2359.500000
GOOGL,GOOGL,02079K305,58,20220616,2195.290000
GOOGL,GOOGL,02079K305,44457,20220623,2229.750000
GOOGL,GOOGL,02079K305,147,20220621,2142.870000
GOOGL,GOOGL,02079K305,1,20220624,2244.840000
GOOGL,GOOGL,02079K305,570,20220617,2120.670000
IBM,IBM,459200101,18696,20220629,141.860000
IBM,IBM,459200101,19590,20220628,142.800000
IBM,IBM,459200101,18419,20220624,138.440000
IBM,IBM,459200101,66,20220617,135.670000
IBM,IBM,459200101,9277,20220623,137.080000
IBM,IBM,459200101,66,20220615,135.720000
IBM,IBM,459200101,18285,20220627,142.060000
IBM,IBM,459200101,15081,20220616,137.060000
IBM,IBM,459200101,41162,20220622,137.850000
IBM,IBM,459200101,2379,20220630,140.710000
IBM,IBM,459200101,160275,20220621,135.020000
IWM,IWM,464287655,59484,20220621,165.180000
IWM,IWM,464287655,2749,20220624,169.830000
IWM,IWM,464287655,372072,20220630,170.690000
IWM,IWM,464287655,5339,20220615,169.380000
IWM,IWM,464287655,900,20220627,175.090000
IWM,IWM,464287655,160126,20220629,172.440000
IWM,IWM,464287655,26563,20220616,171.860000
IWM,IWM,464287655,1538,20220617,163.900000
