AAA,AAA,46144X610,17,20250616,24.980000
AAPL,AAPL,037833100,387,20250616,196.450000
AAPL,AAPL,037833100,484,20250617,198.420000
AAPL,AAPL,037833100,437,20250620,196.580000
AAPL,AAPL,037833100,275,20250618,195.640000
AAPL,AAPL,037833100,498,20250625,200.300000
AAPL,AAPL,037833100,17192,20250623,201.000000
AAPL,AAPL,037833100,8,20250626,201.560000
AAPL,AAPL,037833100,188232,20250630,201.080000
AIG,AIG,026874784,267,20250623,85.130000
AIG,AIG,026874784,405,20250625,85.460000
AIG,AIG,026874784,103,20250620,84.250000
AIG,AIG,026874784,212,20250630,84.590000
BAC,BAC,060505104,1948,20250616,44.090000
BAC,BAC,060505104,89,20250626,46.850000
BAC,BAC,060505104,9586,20250630,47.120000
BAC,BAC,060505104,742,20250617,44.410000
BAC,BAC,060505104,6599,20250625,46.660000
BAC,BAC,060505104,797,20250623,45.500000
BNO,BNO,91167Q100,187,20250625,29.210000
BNO,BNO,91167Q100,5326,20250623,33.120000
BNO,BNO,91167Q100,1175,20250618,32.760000
BNO,BNO,91167Q100,409,20250620,32.740000
BNO,BNO,91167Q100,16908,20250627,29.310000
BNO,BNO,91167Q100,15283,20250616,31.860000
BNO,BNO,91167Q100,8665,20250630,29.110000
EEM,EEM,464287234,42552,20250618,46.610000
EEM,EEM,464287234,33924,20250625,47.920000
EEM,EEM,464287234,108603,20250617,47.230000
EEM,EEM,464287234,27,20250623,46.330000
EEM,EEM,464287234,175209,20250626,47.960000
EEM,EEM,464287234,291438,20250616,47.110000
EEM,EEM,464287234,140,20250624,46.710000
FB,FB,74349Y613,522,20250630,40.250000
FB,FB,74349Y613,764,20250627,39.910000
GOOG,GOOG,02079K107,11168,20250626,171.490000
GOOG,GOOG,02079K107,18760,20250630,178.270000
GOOG,GOOG,02079K107,43,20250623,167.730000
GOOG,GOOG,02079K107,83,20250617,177.940000
GOOG,GOOG,02079K107,69627,20250618,177.230000
GOOG,GOOG,02079K107,75,20250627,174.430000
GOOG,GOOG,02079K107,1442,20250625,167.740000
GOOG,GOOG,02079K107,5425,20250616,175.880000
GOOG,GOOG,02079K107,3186,20250624,166.010000
GOOGL,GOOGL,02079K305,323,20250626,170.680000
GOOGL,GOOGL,02079K305,599,20250625,166.770000
GOOGL,GOOGL,02079K305,69,20250623,166.640000
GOOGL,GOOGL,02079K305,3859,20250617,176.770000
GOOGL,GOOGL,02079K305,2300,20250616,174.670000
GOOGL,GOOGL,02079K305,52,20250618,175.950000
GOOGL,GOOGL,02079K305,801,20250630,178.530000
GOOGL,GOOGL,02079K305,7,20250620,173.320000
IBM,IBM,459200101,54529,20250623,280.970000
IBM,IBM,459200101,5750,20250616,277.220000
IBM,IBM,459200101,2254,20250626,291.060000
IBM,IBM,459200101,82314,20250620,283.210000
IBM,IBM,459200101,26863,20250618,283.050000
IBM,IBM,459200101,10772,20250624,289.180000
IBM,IBM,459200101,18759,20250625,293.790000
IBM,IBM,459200101,30465,20250617,281.830000
IBM,IBM,459200101,2580,20250627,291.930000
IWM,IWM,464287655,2170161,20250623,209.210000
IWM,IWM,464287655,937104,20250630,215.480000
IWM,IWM,464287655,2338733,20250624,211.770000
IWM,IWM,464287655,819,20250618,208.550000
IWM,IWM,464287655,4129,20250617,210.770000
IWM,IWM,464287655,90452,20250627,215.410000
IWM,IWM,464287655,1739,20250625,214.470000
IWM,IWM,464287655,3072607,20250616,208.890000
IWM,IWM,464287655,1888,20250626,211.970000
QQQ,QQQ,46090E103,90754,20250617,534.290000
QQQ,QQQ,46090E103,7627,20250630,548.090000
QQQ,QQQ,46090E103,398,20250616,526.960000
QQQ,QQQ,46090E103,13974,20250618,529.080000
QQQ,QQQ,46090E103,169,20250626,541.160000
QQQ,QQQ,46090E103,147068,20250624,531.650000
QQQ,QQQ,46090E103,7870,20250625,539.780000
QQQ,QQQ,46090E103,2088,20250620,528.990000
QQQ,QQQ,46090E103,9900,20250627,546.220000
QQQ,QQQ,46090E103,129362,20250623,526.830000
SPWR,SPWR,20460L104,16,20250624,1.640000
SPWR,SPWR,20460L104,26702,20250617,1.940000
SPWR,SPWR,20460L104,198478,20250623,1.720000
SPWR,SPWR,20460L104,385520,20250618,1.550000
SPWR,SPWR,20460L104,4297,20250627,1.760000
SPWR,SPWR,20460L104,1026239,20250630,1.730000
SPWR,SPWR,20460L104,5852,20250626,1.650000
SPWR,SPWR,20460L104,17513,20250616,1.920000
SPWR,SPWR,20460L104,59987,20250625,1.760000
SPWR,SPWR,20460L104,366962,20250620,1.620000
SPY,SPY,78462F103,9426,20250617,602.680000
SPY,SPY,78462F103,6471,20250616,597.000000
SPY,SPY,78462F103,4386,20250627,611.870000
SPY,SPY,78462F103,25082,20250624,600.150000
SPY,SPY,78462F103,87917,20250630,614.910000
SPY,SPY,78462F103,308,20250626,607.120000
SPY,SPY,78462F103,2541707,20250620,597.440000
SPY,SPY,78462F103,6301,20250625,606.780000
SPY,SPY,78462F103,4256,20250623,594.280000
USO,USO,91232N207,2465,20250617,78.590000
USO,USO,91232N207,35026,20250627,73.590000
USO,USO,91232N207,414289,20250623,83.120000
USO,USO,91232N207,2000,20250616,80.220000
USO,USO,91232N207,738286,20250624,76.410000
USO,USO,91232N207,1085629,20250620,82.270000
USO,USO,91232N207,3149,20250625,73.000000
